user_id,origin,destination,duration_days,travel_mode,budget_usd,pets,trip_type
2335352d-1c08-468f-8849-64f550e286a4,Cassandrahaven,Mendozamouth,23,bus,2088,no,business
cb44dc6b-de2a-4d8d-a4a1-01501a8a990d,New Williamville,Adamston,21,bus,173,no,romantic
f47afe66-ebb0-4258-aedd-d43f061745d2,Garciabury,Toddview,12,plane,4442,no,leisure
f8caf08b-5328-4d80-85ad-6a4aca073863,Lake Darrenstad,South Christopherside,13,car,1634,no,romantic
700c6045-7c0b-481d-a46b-0aebc18d12f9,Lake John,Woodview,23,car,958,yes,adventure
450979e6-2905-4476-9465-f17a9cb7ba1b,Port Karen,New Caitlin,8,car,1692,yes,business
f4394c87-26c7-473b-8465-8cca6a165254,Gallagherberg,Michaelfort,29,car,853,no,business
d103c8a3-e160-4d05-bfa0-8f2fb239021d,Raymondburgh,Scottside,19,car,3243,no,adventure
d9405958-62ba-4e23-9992-bd73e057ed4e,Gonzaleztown,Port Jonathanborough,12,bus,3282,no,adventure
a1e2fe6c-e70e-4e78-8c32-31c0ab5fb06f,New Morganview,Meyersborough,2,car,2429,yes,romantic
4a5d094a-f63c-445d-affa-be998511d5a6,Lake Andrew,West Thomaston,29,bus,4952,yes,romantic
8e519012-41af-494d-984b-b53fa6e393e0,Davilaland,Mccoyville,3,plane,4770,no,adventure
3f9a42dd-085e-47f8-8af7-007ddea13026,Chapmanfurt,Danielleshire,6,bus,861,no,adventure
7b222996-b466-43b7-a3e7-d01476b50393,Hayleyton,Julieview,8,bus,2790,yes,business
f2317eb1-344f-4d9b-8157-090bce535e0f,Whitemouth,West Williamfort,12,bus,753,no,business
4719416a-fffd-4250-9d83-a769a8303961,East Annette,Moralesport,13,car,1476,yes,leisure
94e2be6c-e26e-45e2-9f3e-b424a154f91e,New Timothybury,East Brianmouth,28,bus,3055,no,leisure
6676f221-d675-45e4-bdd6-469979d1cb1f,Butlershire,Port Davidstad,22,plane,4750,no,romantic
798dc343-08e4-4162-b6a8-7d7a7fe5ebc9,Michelleshire,Smithfurt,19,car,3292,no,romantic
582e3d4b-05d7-42d5-a1eb-86519edc7555,East Robertberg,Richardfort,24,plane,3635,no,adventure
ff8cccde-4d74-42d1-a642-13cb3be6c2db,North Anthonymouth,Kaylaland,16,bus,4321,yes,romantic
d5d586af-475b-428c-973b-cf4b4ea9bd2a,North Kimberly,Moorebury,18,car,4130,yes,leisure
