iata_code,airport_name,city,country,latitude,longitude
MWD,"Ward, Marquez and Kim Airport",Port Laurenview,Saint Lucia,-19.156904,-106.552225
LNW,"Brown, Villa and Cruz Airport",South David,Honduras,64.442564,-4.589226
AXA,Edwards Ltd Airport,North Josephmouth,Kyrgyz Republic,-84.466798,79.718734
XIV,Ayers Inc Airport,Melissamouth,Nicaragua,50.240980,15.349767
ITK,"Benson, Smith and Robles Airport",West Audrey,Chile,24.576336,178.342662
ESG,Pierce-Porter Airport,Port Maryhaven,Estonia,47.526626,-17.428517
HGY,Sanchez LLC Airport,Ryantown,Lebanon,-0.317297,-96.290405
NFI,Marshall-Webb Airport,East Anthony,Svalbard & Jan Mayen Islands,-38.758394,151.492982
SDC,Scott-Smith Airport,New Amanda,Paraguay,-12.723904,20.807841
TVE,Alexander Inc Airport,Colemanland,Thailand,72.443822,9.564528
OAW,Parker LLC Airport,Olsonmouth,Brunei Darussalam,-15.432208,-27.997100
CYI,"Booker, Baker and Rodriguez Airport",Port Angelafurt,French Guiana,-77.374042,102.086779
FBE,"Wright, Hayes and Olsen Airport",Lake Rosestad,Cote d'Ivoire,3.883736,155.438087
ETP,"Freeman, Moran and Jones Airport",Murphytown,Slovenia,-46.651148,35.658031
PCS,Reed Group Airport,Grayborough,Bahamas,12.271698,-90.007330
RRY,"Valdez, Montoya and Mendez Airport",North Brian,Ecuador,-48.301096,-33.524710
OVQ,Johnson and Sons Airport,Joshuahaven,Vanuatu,12.309698,44.662227
DBS,"Morris, Brown and Tucker Airport",Heathhaven,Myanmar,34.806444,-46.324983
RWR,Jones-Lang Airport,Lake Randytown,Switzerland,59.072322,-73.414917
MDF,Edwards-King Airport,Humphreyfurt,Korea,32.861055,45.895370
GAN,Boyd Ltd Airport,Clintonfurt,Burundi,61.800321,-100.525556
KHK,Cordova and Sons Airport,Nathanielstad,Denmark,27.165710,103.073789
WQW,Shaffer-Johnson Airport,Lisahaven,Andorra,37.420390,-86.772135
HDP,Lee Ltd Airport,Downsfort,Honduras,-88.880584,9.304193
ZBZ,Clayton Inc Airport,Mayoview,Puerto Rico,73.811332,171.932459
PPR,"Wright, Knight and Gray Airport",South Richardstad,Bahrain,-28.487946,-80.364429
RYC,"Cummings, Conley and Deleon Airport",Philipbury,Benin,-20.878645,-15.593986
TAF,"Gordon, Melendez and Foley Airport",Marshmouth,China,-50.986458,-175.415528
GUI,Davis and Sons Airport,West Keithhaven,Sierra Leone,-81.598084,-14.870401
WQC,"Lang, Flores and Torres Airport",East Thomasberg,Bermuda,-81.288043,68.469996
HLO,Hall-Wheeler Airport,West Jeanetteside,Rwanda,9.554668,-97.651196
KNS,Douglas Ltd Airport,Lake Alicia,Bolivia,46.034534,1.716993
RIR,"Davis, Ward and Dougherty Airport",Port Victoria,Montserrat,7.551068,106.283207
MYP,Jones LLC Airport,Williamtown,Gabon,-66.787252,-148.314468
CVG,"Miller, Gardner and Wheeler Airport",Latashaberg,Maldives,35.784690,-89.069933
TPU,"Davis, Russell and Weber Airport",East Douglasport,Romania,-29.656288,154.446211
DMQ,Wallace and Sons Airport,Reedborough,United States of America,-43.442993,-116.403487
JVC,Morrow Inc Airport,Port Mariaview,Chad,52.053590,91.546836
OPO,"Davis, Johnson and Santos Airport",Holmesland,Lesotho,17.928641,53.249583
HND,Smith-Gonzalez Airport,Hessborough,Cote d'Ivoire,77.085908,-0.112263
QSY,"Durham, Bradford and Gutierrez Airport",South Lawrencestad,Lebanon,56.076124,37.730972
OVQ,"Hayes, Mcdonald and Randall Airport",New Dawn,Vietnam,57.402511,0.654033
CDP,"Harvey, Hudson and Shaffer Airport",Erikburgh,Pakistan,27.804784,-168.604962
PTN,Day Inc Airport,Lindseyport,Benin,-69.538111,102.985143
HWY,Barrett-Joseph Airport,East Toddtown,Andorra,-52.691406,-66.859453
NHT,Castaneda-Martin Airport,New Victor,Turkey,-2.183956,-144.367526
FDV,Randall LLC Airport,Jessicaberg,Italy,9.587548,-24.459118
